Genes	logFC	logCPM	PValue	FDR
136_72	-5.35394321999495	5.26600041264072	9.62437339039214e-23	2.1444946878911e-20
234_11	-4.64180331809864	4.97221186474285	1.13496528201117e-22	2.50229977176042e-20
198_20	-4.33212777152923	5.80489103182693	1.46944476437944e-22	3.20599172811744e-20
107_51	4.43038083802088	6.27952205424026	1.79578410008985e-22	3.87759772952391e-20
36659	-4.48105351941945	4.50869422474409	2.07004587519139e-22	4.42419498529425e-20
166_40	-4.58724854024892	4.17205775769663	2.34634860701002e-22	4.96406783573989e-20
160_18	-4.24407732991177	5.75434878267482	2.40400402491384e-22	5.03518643018204e-20
26_234	-4.15758663933122	6.18323402455193	2.56664064780797e-22	5.32260280874632e-20
6_139	-4.36483223769908	8.05913222358455	3.20736067766876e-22	6.58609503860511e-20
43137	5.08619830715068	3.47923188183597	4.48563776902961e-22	9.12152262838108e-20
160_8	-4.89217240762228	9.9049492904897	5.26561883821679e-22	1.06046525544664e-19
99_11	-4.48634032414966	5.98896820796769	6.45897691680558e-22	1.28841210973803e-19
74_73	-4.37503366309106	5.26424105455083	6.7265622921026e-22	1.32913063403858e-19
32_96	7.6567235010003	2.06810382287843	8.5357028593508e-22	1.67084389148694e-19
3_288	-6.77951880961403	5.51616221784352	8.93404430725373e-22	1.7326255371799e-19
10_25	8.23235599845	6.41051667692318	1.09030072918813e-21	2.09507786906838e-19
34078	9.35465194825645	3.74663866355945	1.1758436747454e-21	2.23891325159477e-19
84_50	3.84053571176894	4.99387274693505	1.20336518058763e-21	2.27067420787459e-19
52_39	-5.50663898075451	3.60588422815361	1.90974103617959e-21	3.57138625024836e-19
987_3	-4.24695705182863	4.22606953008115	2.24989741554739e-21	4.17027445740178e-19
19_124	-6.47770599474552	3.20155298201393	3.21561498059851e-21	5.90798734812594e-19
18_33	3.97533290915992	4.93138515902726	3.79897943976467e-21	6.91909777094531e-19
36792	-3.94789821610488	5.84525837823958	4.16862274313048e-21	7.52687959955757e-19
49_107	4.75484443725175	3.58212519975174	4.80093761985546e-21	8.59449901263869e-19
2076_1	-3.97140891207517	6.2210943677068	5.12486418855094e-21	9.09663393467792e-19
3019_2	-4.23940426048645	4.3013863613649	5.58670588154073e-21	9.83307182259416e-19
327_3	-4.16163381689787	4.89678408376575	5.67560292924464e-21	9.90629194608575e-19
74_88	-4.30274014493223	7.28305622724877	5.73925368963578e-21	9.93460070491086e-19
157_26	3.8670178095872	6.09486350291941	5.82551318017638e-21	1.000126012777e-18
233_25	-4.14054284451377	5.25045596257076	6.01398018621182e-21	1.02408792683095e-18
32025	-7.5072836589086	2.13294244474181	6.6353470342208e-21	1.12078502928834e-18
129_52	-6.49979629577039	7.55489985635151	6.98044583596415e-21	1.16964350427415e-18
49_49	-4.00048709714684	6.32824000803554	7.12816717367862e-21	1.1849163607357e-18
107_44	-3.75294889330197	5.22159550739252	8.51846764032819e-21	1.40487641517066e-18
13_64	-5.38011939600582	3.13287099676892	9.00204416833848e-21	1.47302980551445e-18
13_94	-4.68459518794033	3.70690371262011	9.35284658063373e-21	1.51856877233623e-18
77_34	-4.86060574679689	5.05303013003534	9.52241016944746e-21	1.53420677691598e-18
6425_1	3.9333737294818	4.57623927069142	1.18329869328167e-20	1.89192298708279e-18
21_157	-4.98884828833922	4.11101582871957	1.33514017537973e-20	2.1185235585855e-18
367_4	-4.13664658354134	4.69182025169345	1.52549221002159e-20	2.40236348412799e-18
19_198	-5.10975515336539	5.68775548529234	1.86048237438956e-20	2.90804502474547e-18
2639_1	6.27068542491552	9.9593327023855	1.96537348647177e-20	3.04924056845565e-18
40737	-4.63684267683547	5.07551302262662	2.72894035654341e-20	4.20276880645601e-18
9_11	9.72658695886661	5.97901921190949	2.89445539124423e-20	4.42513636274529e-18
30480_4	-4.25872796231591	5.27761108284674	3.12520898499712e-20	4.74329726020035e-18
9_8	10.9666326824341	7.21905819017457	3.29006210674239e-20	4.95757919609492e-18
48_3	-4.2971989912572	6.26982623141994	3.33999813475216e-20	4.99687578088458e-18
95_70	-4.79944187892464	7.14509459157348	4.18020356505563e-20	6.20952933830426e-18
16_191	-4.17109340391959	4.09152053632426	4.27517147756168e-20	6.30587792940348e-18
17_48	-3.95562370177096	6.11102645951449	4.52252640852681e-20	6.62407801584574e-18
7_179	-3.85720157379482	4.9721427800931	4.59489840280943e-20	6.68334354491969e-18
37590	-4.05854020433819	6.93903725730511	4.99234485527776e-20	7.21135606853743e-18
1540_1	-3.95552700469699	4.68389011803788	5.13920329686229e-20	7.37264472964251e-18
1973_2	-6.93727318318956	2.49928108611352	6.87880429564414e-20	9.80112625661676e-18
995_1	-4.08781777494138	4.10882071475978	6.95204691214725e-20	9.83855557938677e-18
9_210	5.55918799722495	2.73734813181995	7.51252761710743e-20	1.05138177457774e-17
96_47	8.42086673993751	5.12401199196341	7.52959017362909e-20	1.05138177457774e-17
26_273	4.43332611259392	7.15975724450874	7.8641074974161e-20	1.09081941412835e-17
29_3	-4.2125734953296	4.09299649169469	8.36034283219884e-20	1.15202224092371e-17
0_14	-5.07602164083232	6.27643024781622	1.20660990220661e-19	1.65179375174623e-17
20_130	-6.16553514174332	3.21858899986423	1.35972852786318e-19	1.84931909195418e-17
89_9	-5.11039081613109	5.23460341945559	1.41424091702336e-19	1.91105006497125e-17
3_19	7.42637416921977	6.39720335359778	1.4667107862499e-19	1.96924727038488e-17
77_40	-4.13142279830558	6.24480611784645	1.85000221101998e-19	2.46804435094354e-17
3006_2	-4.36319800320261	4.7287063007155	1.91996787538044e-19	2.54517260442047e-17
731_1	3.99548741676044	7.05796223095785	2.27740956293695e-19	2.99075286303385e-17
475_2	-4.78795161460821	3.3385594057084	2.28465246161574e-19	2.99075286303385e-17
19_282	4.3620614263623	3.89509796800085	2.34390527439609e-19	3.04926061939293e-17
42_167	11.2713042962161	2.59570640086949	3.46946137915762e-19	4.48567090039854e-17
129_1	-6.95212892269771	2.49917261310933	3.60923136370062e-19	4.63775158973678e-17
12_98	-5.14049988618243	7.35232369109212	4.49874629201014e-19	5.7455025052532e-17
5_226	-3.85647644118364	4.96459987730157	4.90761400206751e-19	6.22969547110934e-17
17_42	-4.16430630094676	4.86126020087322	5.2326650517091e-19	6.60229936795464e-17
107_112	-4.06062440261943	8.92858847763188	5.68440582505834e-19	7.12933413208664e-17
36_47	4.86818758207889	5.61060940863382	5.85533525486814e-19	7.29999981626269e-17
62_171	4.89378703365085	3.25140623053208	6.19749708006299e-19	7.68086250543901e-17
2_212	-4.72383656344388	3.24710004513404	8.40278510197015e-19	1.03527255271038e-16
286_3	-3.82178216878329	4.16735774161399	1.5025115837995e-18	1.84035702471816e-16
112_49	-4.0892859106096	7.16862538059167	2.29671677547925e-18	2.79678679432634e-16
20_202	-4.00435081324539	4.60276623476703	2.73635447586177e-18	3.31288696514017e-16
157_8	4.49211367867559	4.15986133246961	2.86375905445677e-18	3.44720881583891e-16
84_49	3.74986385522062	6.37344844507874	2.95043576385039e-18	3.53125011850551e-16
485_1	4.00440190831174	3.9064164260457	3.14101268455428e-18	3.7379835612494e-16
135_41	-4.57335082352944	6.19926553702533	3.22727034863519e-18	3.81893657921831e-16
20_154	-6.41530384542591	1.99344843361345	3.35111541486474e-18	3.94320855979449e-16
37_203	-4.82574627349089	7.05166054450799	3.74243152827291e-18	4.37906303685342e-16
84_120	4.17877095356715	4.17343156679255	3.7928331871757e-18	4.41338283918861e-16
81_90	3.93256110719794	7.89508169293685	4.01317998575959e-18	4.64398092827263e-16
8_225	5.12834261475507	4.54902740525953	4.17627966700582e-18	4.80616360579324e-16
126_51	-3.73503424449599	6.12144363954414	4.224812325286e-18	4.8354477679298e-16
328_2	-10.0861778785307	1.46086967968633	4.56111003796746e-18	5.19198096441459e-16
80_122	8.26750485253243	4.83859301481921	4.7008773967961e-18	5.32215551761591e-16
198_12	-4.39618810272251	3.4820357319345	4.86112020348104e-18	5.47398723988765e-16
29394_2	7.15322507563393	2.09702543056452	5.20134687396927e-18	5.82578664573724e-16
12_158	-3.95518734256433	7.3430784012964	5.48758987022487e-18	6.11370052297127e-16
2443_2	-4.34347020081365	6.97508888270981	5.80125363535461e-18	6.42895541759271e-16
58_5	9.06302135889802	2.62163014741575	6.3834726498382e-18	7.0369386658348e-16
258_11	-5.40219730265756	2.79241874949279	7.79984730110347e-18	8.55328804825195e-16
34_84	3.38485975158966	5.58235982753061	8.8375010766673e-18	9.64070104431233e-16
144_10	-5.37998205597097	2.85833185558236	9.80812310635797e-18	1.06441004384802e-15
152_10	4.34422953925566	3.36203507416476	1.17058831677337e-17	1.26381300488754e-15
197_26	-9.92250095260573	1.30365149802622	1.26108216663498e-17	1.35453158872665e-15
107_53	6.15304529273792	2.04106641550256	1.53094721977389e-17	1.63600456725327e-15
47_66	-3.67948713520478	4.38528536462168	2.0108970550011e-17	2.13798166583747e-15
3_20	11.5253287778039	2.84745753845648	2.57942471042556e-17	2.72858841211431e-15
292_7	-5.78513939967151	2.94530479782455	2.64106568152769e-17	2.779754809025e-15
2_290	-4.08164887883284	9.13832690520995	2.82263958512974e-17	2.95600930552712e-15
36_156	-4.09948516348274	6.9209042767932	3.25144681660355e-17	3.38813699371947e-15
37_20	-3.83657907027881	4.32122935786529	3.28057691746496e-17	3.40156849189621e-15
80_83	4.33357127320182	8.11789911411016	4.14252461214803e-17	4.27414669957835e-15
155_31	4.62113763994462	3.07456864305057	4.20226755773025e-17	4.31453401944412e-15
33_89	-4.73527538860428	2.99426458671993	4.22728242142608e-17	4.31904538130582e-15
26_62	-5.29623223953664	2.93676492624971	5.40996516035962e-17	5.50056894581225e-15
58_36	-3.38197994442261	5.06027546853	6.06635164561911e-17	6.13815145978224e-15
26_50	-3.48081590439198	6.63283606949321	6.37546030586816e-17	6.41764374186547e-15
200_17	-4.65656001741201	4.59362342174379	6.40385553616559e-17	6.41764374186547e-15
14_198	-4.42831941056322	6.5942307868849	6.44818129121473e-17	6.43129319735679e-15
10_1	4.6435413829564	3.09481299045769	8.51845101272116e-17	8.45587471381255e-15
836_3	8.40875189629693	1.97587911563163	8.93923473105876e-17	8.83171091707668e-15
145_20	-3.80188703678787	3.94948265150845	9.58006519525096e-17	9.42039744199677e-15
33359	-4.71690357075946	2.81164474478968	1.09792095746704e-16	1.07457731094145e-14
75_80	-5.0781563607724	6.64266132924794	1.17815672021736e-16	1.14774383743966e-14
376_5	-3.66677637042533	4.50526892981893	1.20595659226195e-16	1.16938707522808e-14
77_96	-3.86491235275014	4.59472350106619	1.37034772253643e-16	1.32266972573851e-14
126_23	-3.78130107590432	4.23514523991889	1.45178286561204e-16	1.39484367524056e-14
77_42	-4.87092304563992	2.7055626461366	1.52097441320341e-16	1.45464881664591e-14
18_80	8.23590056367881	5.78642698217602	1.53607875509475e-16	1.46241679661179e-14
35275	4.56518197362973	4.99412826444905	1.76090351552602e-16	1.66887439514446e-14
80_123	7.76780674189805	5.17117989757804	1.91851362745902e-16	1.81005711383464e-14
146_36	-3.58492984130847	7.62210155476199	1.96606203326557e-16	1.84659951958508e-14
2215_2	-4.18713857218854	6.67560712418009	2.13713365909507e-16	1.99831537900653e-14
54_82	9.72393218407821	1.07501761400483	2.25271020974302e-16	2.09702290413634e-14
62_66	7.96866531990986	6.67511219810531	2.37781307823985e-16	2.20368561609441e-14
106_111	-3.19351108101589	5.37531501643458	2.57508877274288e-16	2.37600151299999e-14
169_18	-5.91331703110107	2.23411215856857	2.6496534932776e-16	2.43407861476751e-14
26_49	-3.50539164389751	7.72170832006884	2.75274032366984e-16	2.51213418430259e-14
12_146	-3.56779962286556	5.65266869823088	2.75860998992407e-16	2.51213418430259e-14
1_240	-6.02408882468488	1.93702554071704	3.00185859485783e-16	2.72181507659296e-14
13_202	-3.48887222324611	6.95453923870669	3.1385496424328e-16	2.83348802848082e-14
3_371	-3.54119415538514	5.34035387723599	3.24688401243559e-16	2.91871183006281e-14
48_195	5.87514008234574	3.584648925737	3.3291492576355e-16	2.97987312825536e-14
29_122	-3.26719393311649	4.90922534726707	3.73560996831138e-16	3.32946173558646e-14
34984	4.74968295875273	2.55955449058485	4.62353214200336e-16	4.10338477602798e-14
151_30	-3.67387015431245	5.91512125184706	4.97239080419074e-16	4.39437659889346e-14
163_9	-3.56664522572325	4.74759899656843	5.32344371355034e-16	4.68485414202991e-14
8_70	-4.02982409562654	3.74739522145796	6.41700811752316e-16	5.62360815989634e-14
79_6	-3.62573294772346	4.67014424492973	6.5932742177986e-16	5.75400535382465e-14
6_308	-3.59075801852212	4.43526669313391	7.32500985822303e-16	6.36607184566313e-14
136_32	-4.9485216245745	5.81706647096875	8.05455242562967e-16	6.97118184110799e-14
102_24	-4.1459294785538	7.2548372806919	8.31608777332214e-16	7.16792009926881e-14
44_12	-5.04778339292377	6.09305571735754	9.1560686442641e-16	7.8595843341849e-14
49_51	3.44609398443649	4.26727646911768	9.23184106857062e-16	7.89228208902904e-14
8_188	6.67670924831969	2.01288408701341	9.28430968114963e-16	7.90487261266988e-14
47_65	-3.5807840924915	4.22561855453763	1.02921833499871e-15	8.72752146823807e-14
78_34	-3.47240040506471	4.02714337890749	1.16747483984068e-15	9.85998408083191e-14
274_1	-6.85344285632403	1.49936085561181	1.43182524574951e-15	1.2044007940652e-13
92_75	-3.92072321831899	6.7353369627901	1.71614450608997e-15	1.43778586720218e-13
21_181	-3.26109203601235	4.83020505233612	1.74514807518486e-15	1.45626001732059e-13
25_119	-5.45447393148718	9.08582719116055	1.81622845759613e-15	1.50955972398218e-13
37_189	-3.83715998804481	5.35548236882341	1.97214362886597e-15	1.63266989354141e-13
95_62	-3.56242921030276	4.6307609741214	2.11940940890252e-15	1.74767834919147e-13
1_38	-5.29188884931021	3.72181676029061	2.20178512035426e-15	1.80848585669882e-13
26_98	-3.59631025601683	7.81629800997913	2.36182831330062e-15	1.93236304773756e-13
3387_2	3.90273695178265	4.01725043936056	2.67737861257031e-15	2.18201148016673e-13
13_146	-3.24639251781559	5.3752674657018	2.83561071659217e-15	2.30201032786911e-13
72_37	-3.45947840726683	8.32414937652967	2.89515164481949e-15	2.34127224713298e-13
42_28	3.4404725371368	5.63706829532266	3.28210819727082e-15	2.64399062276298e-13
92_120	-3.53428543221175	8.59645780154852	3.34585486577812e-15	2.68501648136869e-13
26_31	-3.26618505782037	4.67047921783667	3.64900930756146e-15	2.91711831858301e-13
217_10	3.52589939067605	3.80318087901178	3.78546939259371e-15	3.01470176531845e-13
19_185	-4.3816862880361	5.51291789035399	3.91642653597132e-15	3.10718006802725e-13
16_141	-4.77170012000533	2.93141979000297	4.19224032483108e-15	3.31345183409762e-13
97_79	3.5883433077579	4.07800678783556	4.36411806881696e-15	3.43633281772072e-13
77_70	-4.3090211593007	3.29195656341732	4.53955866014747e-15	3.56108824482355e-13
3019_1	-3.72972693577249	3.72277164082764	5.6066521699678e-15	4.38176603358118e-13
119_56	-3.58005336426978	5.50580466268243	6.5708839960823e-15	5.11625149806483e-13
25_79	-3.79181534947884	4.59373050469136	6.89523703136027e-15	5.3489162822904e-13
17_10	-5.12842614870815	2.43462090285862	7.23311009519804e-15	5.59031331896394e-13
23_120	-3.23144551336651	6.67957404844	9.01872015827858e-15	6.94474609246856e-13
77_1	-3.93381178001177	7.73607707532076	9.21506184198394e-15	7.06994396631332e-13
7_35	-4.112807709747	3.44020060825369	1.04013690769901e-14	7.95097355173569e-13
55_92	-3.2628892641108	5.50165308479228	1.18476279515999e-14	9.02358427077305e-13
80_26	-3.21367485845167	6.13285414143457	1.20010020684147e-14	9.10728218561397e-13
27_60	-3.72512692777926	3.41991993854904	1.34142032202238e-14	1.01429778500934e-12
2471_2	-3.78180960211188	5.81238871837429	1.46698728353962e-14	1.10525354869559e-12
12_147	-3.19918304279724	6.45124397977106	1.61974400440818e-14	1.21596911011933e-12
327_9	3.68266728248954	7.3035316150753	1.75258782139871e-14	1.31099828282843e-12
107_90	-3.23631968653517	4.59746155027914	2.00787667888127e-14	1.4966183999704e-12
209_18	-3.12393010183918	6.45497117147571	2.05567556655832e-14	1.52681293409802e-12
73_90	-2.96243591901364	5.92084430530216	2.15824750769181e-14	1.59733194518039e-12
3079_1	6.81248163667921	3.76006606697489	2.16618468053797e-14	1.59756120189675e-12
264_7	5.2874432051703	9.93771292774398	2.6525884428416e-14	1.94545443224506e-12
4_164	6.09635063422791	1.06400629738821	2.65648110585862e-14	1.94545443224506e-12
106_112	-3.19483396831202	4.25914685372224	2.87304788087102e-14	2.09672431584821e-12
44825	4.91270262950417	4.19430226250413	2.99693245411604e-14	2.17953993928682e-12
8_89	-3.17259876534186	6.6518847445834	3.37874914898662e-14	2.44871629500086e-12
49_84	-3.23910459373362	5.22064543402294	3.40522459374571e-14	2.45939410744841e-12
238_6	3.83370665272919	4.90864411272596	3.55658654387277e-14	2.55988677530636e-12
55_80	4.01377574707695	6.42040165635118	3.99822128492952e-14	2.85869665423967e-12
6_207	-4.65977752364648	2.37222268543468	3.99903614080794e-14	2.85869665423967e-12
26_63	-4.49157595048562	2.33836702783978	4.09999926553433e-14	2.92090083729988e-12
9_214	4.04774868111635	2.97128449224974	4.39973974946197e-14	3.123815222118e-12
49_77	3.16329384257495	6.14179304717992	4.43987445693404e-14	3.14166116555687e-12
75_21	-3.90842002014628	3.95990677846275	4.55094755726351e-14	3.20941402649442e-12
30909	-5.14715351604478	1.71856475029038	4.73304041949655e-14	3.32662857672333e-12
179_50	-3.14728810172801	4.32675012026675	4.75631733378734e-14	3.33180824602595e-12
30_62	9.43718162297149	0.800305720462676	4.842898127135e-14	3.38115004242808e-12
16_199	3.15399231652687	5.44368944914482	5.59055467160001e-14	3.89017168095224e-12
217_19	3.14087691721582	5.47429768419357	5.70680961032583e-14	3.95791812212829e-12
95_76	-3.09894593359473	4.32314308116305	6.21771506700162e-14	4.29802119070459e-12
8_322	9.86040763655332	5.1629418349176	6.55036485251225e-14	4.51307209986412e-12
119_43	-3.06675627689917	6.131612675552	7.04087956579237e-14	4.83512204936135e-12
4_46	-2.90946349854539	5.03592659315912	7.15616330425216e-14	4.89823007867848e-12
3_249	-3.66623141805494	4.39161378213145	7.57810508392178e-14	5.1701436802196e-12
27379_1	4.50927142499829	2.05959182823973	8.45566193432199e-14	5.75012464981734e-12
74_94	-3.15077410859591	4.33691579981488	8.98791457085821e-14	6.09229354972897e-12
11_119	-3.44000148939368	8.91344399368515	9.03603461386205e-14	6.10515306410776e-12
44618	4.76493594880623	4.3335151487496	9.93137057359691e-14	6.68850664514429e-12
212_5	-5.51481814410122	1.4099813197539	1.15339592248484e-13	7.74290948604004e-12
109_28	-3.82380941154328	4.07597998307785	1.21171050068404e-13	8.10839502774031e-12
85_127	-2.98285174598866	5.93577312616381	1.2238183293733e-13	8.16333595819225e-12
194_9	-4.01007428841013	2.97146857980752	1.29060518681808e-13	8.5815002025094e-12
2_272	-3.36329965448469	7.93768795800926	1.35330338811585e-13	8.96991755192613e-12
187_16	-3.67694545290734	5.8447439525197	1.40564257490173e-13	9.28743966287593e-12
55_137	-3.15433476165027	4.50385819736061	1.45297416897036e-13	9.56998238021513e-12
200_1	-3.32995436519455	4.39376783497901	1.48432576813717e-13	9.74583172841158e-12
1_48	8.73709673521058	4.9935900229159	1.66950068392144e-13	1.09274036952296e-11
62_87	5.46458068939525	5.51416894503793	1.7091066033278e-13	1.1151787478723e-11
109_5	-3.16968299112805	6.88999126517721	1.88020278770047e-13	1.22101656148341e-11
192_13	3.42777293230961	5.91530483301686	1.88297135048528e-13	1.22101656148341e-11
1_433	-5.21700635569727	1.58387983611298	2.1167723833495e-13	1.3683888138659e-11
26_272	4.3319629020622	3.73057315095386	2.1799762268572e-13	1.40491083296997e-11
714_2	-4.52863026810375	2.56967064615182	2.38046937765125e-13	1.5294150648744e-11
