City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
Merida,UberX,COMPLETED,2018-09-21 13:50:18 +0000 UTC,2018-09-21 13:58:45 +0000 UTC,2018-09-21 14:04:48 +0000 UTC,1.13,22.7,MXN
Merida,UberX,COMPLETED,2018-09-16 22:21:44 +0000 UTC,2018-09-16 22:28:03 +0000 UTC,2018-09-16 22:35:31 +0000 UTC,1.46,28.64,MXN
Merida,UberX,COMPLETED,2018-09-16 00:57:11 +0000 UTC,2018-09-16 01:06:39 +0000 UTC,2018-09-16 01:09:18 +0000 UTC,0.77,29.46,MXN
Merida,UberX,COMPLETED,2018-09-15 17:25:25 +0000 UTC,2018-09-15 17:31:36 +0000 UTC,2018-09-15 17:38:37 +0000 UTC,1.19,26.58,MXN
Merida,UberX,COMPLETED,2018-09-14 13:43:50 +0000 UTC,2018-09-14 13:48:33 +0000 UTC,2018-09-14 13:57:08 +0000 UTC,1.65,31.74,MXN
Merida,UberX,COMPLETED,2018-09-09 11:14:05 +0000 UTC,2018-09-09 11:17:30 +0000 UTC,2018-09-09 11:36:54 +0000 UTC,6.52,85.06,MXN
Merida,UberX,COMPLETED,2018-09-07 13:46:49 +0000 UTC,2018-09-07 13:51:35 +0000 UTC,2018-09-07 13:57:43 +0000 UTC,1.35,24.62,MXN
Merida,UberX,COMPLETED,2018-09-04 15:52:28 +0000 UTC,2018-09-04 15:54:08 +0000 UTC,2018-09-04 15:58:44 +0000 UTC,1.29,22.87,MXN
Merida,UberX,COMPLETED,2018-09-01 15:49:17 +0000 UTC,2018-09-01 15:52:45 +0000 UTC,2018-09-01 16:05:35 +0000 UTC,3.61,67.34,MXN
Merida,UberX,COMPLETED,2018-08-31 22:59:47 +0000 UTC,2018-08-31 23:03:34 +0000 UTC,2018-08-31 23:06:42 +0000 UTC,0.7,29.35,MXN
Merida,UberX,COMPLETED,2018-08-27 04:59:03 +0000 UTC,2018-08-27 05:09:16 +0000 UTC,2018-08-27 05:21:58 +0000 UTC,3.5,49.7,MXN
