City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
Merida,UberX,COMPLETED,2019-06-13 22:36:08 +0000 UTC,2019-06-13 22:40:18 +0000 UTC,2019-06-13 22:50:49 +0000 UTC,2.07,54.25,MXN
Merida,UberX,CANCELED,2019-06-09 11:49:07 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,MXN
Merida,UberX,COMPLETED,2019-06-05 14:11:01 +0000 UTC,2019-06-05 14:14:08 +0000 UTC,2019-06-05 14:21:02 +0000 UTC,1.13,25.38,MXN
Merida,UberX,COMPLETED,2019-05-30 02:23:00 +0000 UTC,2019-05-30 02:27:34 +0000 UTC,2019-05-30 02:39:13 +0000 UTC,3.02,48.29,MXN
Merida,UberX,COMPLETED,2019-05-17 14:10:38 +0000 UTC,2019-05-17 14:12:47 +0000 UTC,2019-05-17 14:19:24 +0000 UTC,1.26,22.61,MXN
Merida,UberX,COMPLETED,2019-05-07 14:03:52 +0000 UTC,2019-05-07 14:06:58 +0000 UTC,2019-05-07 14:13:11 +0000 UTC,1.26,30.92,MXN
Merida,UberX,COMPLETED,2019-05-03 14:19:48 +0000 UTC,2019-05-03 14:22:23 +0000 UTC,2019-05-03 14:28:37 +0000 UTC,1.26,25.38,MXN
Merida,UberX,COMPLETED,2019-04-24 15:45:28 +0000 UTC,2019-04-24 15:47:45 +0000 UTC,2019-04-24 15:52:19 +0000 UTC,1.13,24.12,MXN
Merida,UberX,COMPLETED,2019-04-17 17:55:29 +0000 UTC,2019-04-17 18:04:34 +0000 UTC,2019-04-17 18:13:32 +0000 UTC,2.1,45.59,MXN
Merida,UberX,COMPLETED,2019-04-12 22:55:58 +0000 UTC,2019-04-12 22:59:47 +0000 UTC,2019-04-12 23:02:49 +0000 UTC,0.71,28.38,MXN
Merida,UberX,COMPLETED,2019-04-10 14:37:41 +0000 UTC,2019-04-10 14:40:06 +0000 UTC,2019-04-10 14:45:11 +0000 UTC,1.13,28.38,MXN
Merida,UberX,COMPLETED,2019-04-07 14:16:52 +0000 UTC,2019-04-07 14:19:53 +0000 UTC,2019-04-07 14:32:11 +0000 UTC,5.16,70.21,MXN
Merida,UberX,COMPLETED,2019-04-04 15:13:37 +0000 UTC,2019-04-04 15:15:27 +0000 UTC,2019-04-04 15:20:28 +0000 UTC,1.25,28.38,MXN
Merida,UberX,COMPLETED,2019-04-03 15:05:47 +0000 UTC,2019-04-03 15:07:45 +0000 UTC,2019-04-03 15:12:59 +0000 UTC,1.11,28.38,MXN
Merida,UberX,COMPLETED,2019-03-30 15:27:44 +0000 UTC,2019-03-30 15:31:55 +0000 UTC,2019-03-30 15:37:58 +0000 UTC,1.24,28.38,MXN
Merida,UberX,COMPLETED,2019-03-29 15:09:28 +0000 UTC,2019-03-29 15:12:04 +0000 UTC,2019-03-29 15:18:41 +0000 UTC,1.18,28.38,MXN
Merida,UberX,COMPLETED,2019-03-28 15:25:53 +0000 UTC,2019-03-28 15:28:45 +0000 UTC,2019-03-28 15:34:38 +0000 UTC,1.25,28.38,MXN
Merida,UberX,COMPLETED,2019-03-25 05:06:08 +0000 UTC,2019-03-25 05:13:32 +0000 UTC,2019-03-25 05:22:26 +0000 UTC,3.01,46.81,MXN
Merida,UberX,CANCELED,2019-03-25 05:04:36 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,MXN
Merida,UberX,COMPLETED,2019-03-25 04:27:55 +0000 UTC,2019-03-25 04:33:05 +0000 UTC,2019-03-25 04:44:17 +0000 UTC,3.31,68.41,MXN
Merida,UberX,COMPLETED,2019-03-24 07:14:03 +0000 UTC,2019-03-24 07:15:35 +0000 UTC,2019-03-24 07:42:30 +0000 UTC,13.9,150.41,MXN
Merida,UberX,COMPLETED,2019-03-23 00:38:11 +0000 UTC,2019-03-23 00:42:51 +0000 UTC,2019-03-23 00:49:14 +0000 UTC,1.43,30.7,MXN
Merida,UberX,COMPLETED,2019-03-22 18:57:02 +0000 UTC,2019-03-22 19:00:47 +0000 UTC,2019-03-22 19:07:14 +0000 UTC,1.27,29.37,MXN
Merida,UberX,COMPLETED,2019-03-22 18:25:18 +0000 UTC,2019-03-22 18:27:33 +0000 UTC,2019-03-22 18:32:50 +0000 UTC,1.29,34.61,MXN
Merida,UberX,COMPLETED,2019-03-22 14:56:32 +0000 UTC,2019-03-22 14:59:50 +0000 UTC,2019-03-22 15:06:12 +0000 UTC,1.12,28.38,MXN
Merida,UberX,COMPLETED,2019-03-19 15:19:17 +0000 UTC,2019-03-19 15:21:25 +0000 UTC,2019-03-19 15:27:14 +0000 UTC,1.13,28.38,MXN
Merida,UberX,COMPLETED,2019-03-12 15:09:26 +0000 UTC,2019-03-12 15:11:28 +0000 UTC,2019-03-12 15:16:05 +0000 UTC,1.25,28.38,MXN
Merida,UberX,COMPLETED,2019-03-08 14:48:52 +0000 UTC,2019-03-08 14:52:42 +0000 UTC,2019-03-08 14:58:58 +0000 UTC,1.26,28.38,MXN
Merida,UberX,COMPLETED,2019-03-02 05:16:02 +0000 UTC,2019-03-02 05:18:02 +0000 UTC,2019-03-02 05:24:54 +0000 UTC,1.8,33.68,MXN
Merida,UberX,COMPLETED,2019-03-01 14:49:50 +0000 UTC,2019-03-01 14:57:08 +0000 UTC,2019-03-01 15:03:17 +0000 UTC,1.11,28.38,MXN
Merida,UberX,COMPLETED,2019-02-23 14:50:48 +0000 UTC,2019-02-23 14:55:34 +0000 UTC,2019-02-23 15:02:18 +0000 UTC,1.14,28.38,MXN
Merida,UberX,COMPLETED,2019-02-22 14:45:59 +0000 UTC,2019-02-22 14:47:53 +0000 UTC,2019-02-22 14:53:22 +0000 UTC,1.26,28.87,MXN
Merida,UberX,COMPLETED,2019-02-09 10:31:51 +0000 UTC,2019-02-09 10:38:45 +0000 UTC,2019-02-09 10:47:41 +0000 UTC,3.44,36.7,MXN
Merida,UberX,COMPLETED,2019-02-09 04:27:45 +0000 UTC,2019-02-09 04:31:22 +0000 UTC,2019-02-09 04:40:22 +0000 UTC,2.63,36.12,MXN
Merida,UberX,COMPLETED,2019-02-07 17:50:46 +0000 UTC,2019-02-07 17:54:56 +0000 UTC,2019-02-07 17:59:38 +0000 UTC,1.32,21.29,MXN
Merida,UberX,COMPLETED,2019-02-05 15:02:30 +0000 UTC,2019-02-05 15:07:25 +0000 UTC,2019-02-05 15:13:19 +0000 UTC,1.18,21.29,MXN
Merida,UberX,COMPLETED,2019-02-03 15:05:13 +0000 UTC,2019-02-03 15:09:16 +0000 UTC,2019-02-03 15:25:12 +0000 UTC,4.98,54.22,MXN
Merida,UberX,COMPLETED,2019-02-01 15:41:45 +0000 UTC,2019-02-01 15:43:36 +0000 UTC,2019-02-01 15:53:07 +0000 UTC,1.47,21.29,MXN
Merida,UberX,COMPLETED,2019-01-31 15:05:12 +0000 UTC,2019-01-31 15:07:46 +0000 UTC,2019-01-31 15:13:15 +0000 UTC,1.17,21.29,MXN
Merida,UberX,COMPLETED,2019-01-29 14:57:10 +0000 UTC,2019-01-29 15:02:35 +0000 UTC,2019-01-29 15:08:04 +0000 UTC,1.22,21.29,MXN
Merida,UberX,COMPLETED,2019-01-20 14:25:52 +0000 UTC,2019-01-20 14:28:33 +0000 UTC,2019-01-20 14:34:51 +0000 UTC,1.17,18.45,MXN
