Genes	logFC	PValue	FDR
1096_2	7.46500148109904	8.59564385017468e-09	2.55928962021315e-07
73_70	3.67873877315982	8.6022434596804e-09	2.55928962021315e-07
50_122	-2.33400671426029	8.7335127466869e-09	2.59465850325329e-07
26_89	-4.22378271248972	8.75802433398994e-09	2.59825523619574e-07
57_18	-2.8307684244494	9.05211462646582e-09	2.67815463290776e-07
69_62	-3.78278553982903	9.05291706898399e-09	2.67815463290776e-07
4_166	3.52584320423775	9.1282233749322e-09	2.696623957517e-07
92_35	2.5793772235182	9.16128423511898e-09	2.70008919898242e-07
37_215	-2.83387989500982	9.16573607293626e-09	2.70008919898242e-07
193_22	2.95918677341757	9.27897126346379e-09	2.72960748754563e-07
132_67	10.3186512832118	9.33554741546596e-09	2.74180287955036e-07
1855_1	-2.3738117420152	9.34660900453072e-09	2.74180287955036e-07
2253_1	-3.53424209605117	9.53161536052558e-09	2.79216340875816e-07
67_81	-3.54300554465281	1.00304632036305e-08	2.93419066759834e-07
36_167	3.56806219852959	1.0186518729615e-08	2.97568528300958e-07
112_58	-2.46747863711644	1.04824851968704e-08	3.05787816780571e-07
30133	-2.58315274468316	1.06600162452183e-08	3.10126847766946e-07
136_75	-2.52230928891707	1.06608417470614e-08	3.10126847766946e-07
371_3	2.3922094828661	1.08922976549086e-08	3.16420491514647e-07
714_3	-4.22451585092227	1.10814909687737e-08	3.21470676372527e-07
20_150	-4.46954492423975	1.1259875684295e-08	3.26193770688186e-07
41_72	2.75897896643875	1.14365037281979e-08	3.30852998048488e-07
3_464	-2.57033016267297	1.15129055592104e-08	3.32603871638154e-07
94_63	-2.35800721876362	1.17405540143424e-08	3.38713366157578e-07
532_4	-2.32253057067648	1.20499753725284e-08	3.47161945223668e-07
49_74	-2.30489343965814	1.21547703102591e-08	3.49700088115902e-07
136_66	-7.82650965152525	1.21761774970252e-08	3.4983544262715e-07
3_62	2.29499943087626	1.2367785556509e-08	3.54853792439837e-07
8_101	4.1576336732068	1.24281931616264e-08	3.56099187100227e-07
107_30	2.40627262622209	1.26388048356099e-08	3.61639026341325e-07
10_270	3.9384150301112	1.29532852288105e-08	3.70131731401686e-07
151_15	-2.25201115024876	1.32079860915672e-08	3.76895461427622e-07
30_129	-4.22537326605982	1.33204537577491e-08	3.79587624430006e-07
18_225	-3.22508115586467	1.35452911518392e-08	3.85470276053359e-07
2_116	9.36742382056221	1.35891245295527e-08	3.86192962376503e-07
49_68	2.68951409940725	1.36219203539882e-08	3.86600436062713e-07
318_2	-2.3952851353787	1.36427617698008e-08	3.86667990891039e-07
184_33	-2.90121437269126	1.37221096381108e-08	3.88391332932744e-07
70_99	2.41533319218051	1.41355375856248e-08	3.99553083307573e-07
127_42	3.36774859867052	1.41685028756762e-08	3.99945138451534e-07
9_72	3.71983991333989	1.43715747889112e-08	4.05131405052146e-07
2_372	-4.98874809002616	1.4475711156034e-08	4.07518508283781e-07
160_31	-2.15378673454179	1.46812041074999e-08	4.12748751720249e-07
117_75	2.09939935201603	1.49607471506864e-08	4.19976118478172e-07
35723	-2.26500021830533	1.49783795895533e-08	4.19976118478172e-07
39_53	-2.40316208998865	1.50840207836585e-08	4.22372747745626e-07
19_37	-3.74979834503332	1.55397844955365e-08	4.34553786727653e-07
49_23	-2.23434665354584	1.56175990315172e-08	4.36147482286838e-07
6_208	-3.46374562699209	1.57442803732331e-08	4.39099803485177e-07
104_55	-2.52375155750399	1.60856562793361e-08	4.4802403028018e-07
250_12	-3.4007744671983	1.61971968815785e-08	4.50531591878701e-07
119_37	2.46941280206206	1.66426979461403e-08	4.62073169849581e-07
2_16	3.7163723691615	1.66562541530883e-08	4.62073169849581e-07
13_179	-2.07677469049829	1.7062349052813e-08	4.72217351220184e-07
152_61	-2.26707655438234	1.70670104976691e-08	4.72217351220184e-07
26_4	4.02532621624696	1.73611774186357e-08	4.79722771811774e-07
6_430	-2.29012771572972	1.85253762224809e-08	5.11217397865431e-07
57_50	4.49523260822873	1.88747764156623e-08	5.20173936876378e-07
33_72	-2.25642932060012	1.89450292822683e-08	5.21423966251129e-07
78_30	2.22727394471395	1.89760777790431e-08	5.21593109031573e-07
36_46	5.83368523969733	1.9019503672758e-08	5.22101578539863e-07
55_141	-2.36202151919197	1.91275769652115e-08	5.24022810283844e-07
5_119	-2.79326105027576	1.91395297143538e-08	5.24022810283844e-07
124_53	-2.87491620342319	1.93127239429292e-08	5.2807441642905e-07
38098	-2.63534688527827	2.00158280493651e-08	5.4658607365574e-07
192_2	3.95761437781996	2.03620103591101e-08	5.5531550386922e-07
40297	-3.48592388102177	2.07685771174893e-08	5.65666902114193e-07
32321	-4.07289429548986	2.16964315518452e-08	5.90171115394022e-07
56_53	-2.06909659987714	2.27153610489342e-08	6.17085910726234e-07
1096_1	-3.95844212095129	2.29429254690868e-08	6.22460588018165e-07
185_13	-3.01633607004858	2.29896676010587e-08	6.22815582287573e-07
15_5	2.20522530887352	2.30154815321357e-08	6.22815582287573e-07
1346_4	-2.31243359682534	2.33398540118819e-08	6.3077837713402e-07
43054	-3.44562459107101	2.34245787239446e-08	6.32252321356984e-07
64_121	3.15051068001698	2.40102576260231e-08	6.47226313998782e-07
75_26	2.22173460732014	2.4751356978866e-08	6.6572167178397e-07
75_67	2.16131655130901	2.47599514117791e-08	6.6572167178397e-07
55_41	-2.26461779613527	2.49863038902201e-08	6.70946326898281e-07
49_102	-2.69704495154335	2.50604293162348e-08	6.72075149844479e-07
21_97	5.52277369634427	2.53795736140221e-08	6.79763643664569e-07
30593	-2.34237526566892	2.5547536128188e-08	6.83388434489012e-07
211_16	-3.14818734251649	2.58839082622785e-08	6.91503135909979e-07
36_206	4.38548849133411	2.6336923173096e-08	7.02709370522923e-07
5_54	-2.50594197265932	2.64950592728305e-08	7.06029283039993e-07
284_4	4.25485715619336	2.71201408937618e-08	7.21767917433088e-07
5185_1	-2.62688581316775	2.74561500501722e-08	7.29783074620377e-07
59_80	-2.08073039800918	2.78892672964501e-08	7.40355771260009e-07
8_210	-2.18814205350852	2.80633454614494e-08	7.44033886949441e-07
6_404	-2.20437682957576	2.92456996614676e-08	7.74400985346951e-07
189_36	12.4303565149107	2.93837527585923e-08	7.77074118091814e-07
19_90	2.51328744925784	2.98839954891948e-08	7.8930679132558e-07
48_101	2.19125832385896	3.0206275234263e-08	7.9681414959904e-07
43_30	2.21449124338415	3.05460260068629e-08	8.04678477428175e-07
8_211	-2.03444196855566	3.05812398201398e-08	8.04678477428175e-07
19_242	-2.34719965451261	3.07704066189171e-08	8.07659327789934e-07
2_330	7.63083320431304	3.07874903976259e-08	8.07659327789934e-07
3_280	-4.26631888680825	3.08102078254551e-08	8.07659327789934e-07
45_32	-2.22497807933044	3.13375824475461e-08	8.20457080454816e-07
173_1	-2.48796132973328	3.1721783724029e-08	8.29369884030975e-07
3_435	-6.30696903477937	3.17572044398588e-08	8.29369884030975e-07
32_76	-2.18955219202703	3.1896872839705e-08	8.31980076746726e-07
130_35	2.04905441619313	3.25850687010665e-08	8.48873462616715e-07
27_221	3.57982083226555	3.27292927376133e-08	8.51571473775542e-07
83_80	2.61916272377089	3.30492296993986e-08	8.58828928106581e-07
194_3	-2.22671983185693	3.33761480595021e-08	8.66249592448911e-07
26_301	4.55347126599324	3.36487919149745e-08	8.72244983489035e-07
104_42	-3.71796106747871	3.41933163139881e-08	8.85264536707641e-07
41_48	8.73988571417401	3.44590187156304e-08	8.90143494819711e-07
57_53	2.44631724161539	3.44667641107083e-08	8.90143494819711e-07
146_30	-2.79796617183294	3.45812262167503e-08	8.91999732893886e-07
111_2	-2.60026259491406	3.53545340325335e-08	9.10824988082921e-07
349_4	-2.78343599313179	3.5582610079559e-08	9.14662935428336e-07
91_17	-2.04333169134237	3.55908470935351e-08	9.14662935428336e-07
530_1	8.58130475104736	3.65373874892178e-08	9.3783772176675e-07
131_25	-2.31041322948667	3.67179543456804e-08	9.41318915263496e-07
5_274	2.98866129128712	3.70374128785044e-08	9.48347937335298e-07
763_1	-2.24057426497223	3.70989049252698e-08	9.48762592991179e-07
103_2	7.9270894619588	3.77227793933375e-08	9.6354099316275e-07
99_60	-4.32242668868905	3.77869495461488e-08	9.64004455839325e-07
11_15	-2.87385809313458	3.79929218445322e-08	9.68079985442491e-07
7_229	2.60404422461721	3.83118485147073e-08	9.75020251689604e-07
128_6	-2.4482058013058	3.96581211439709e-08	1.00805746038892e-06
55_136	-2.42478290422486	3.98146902189945e-08	1.01081052925678e-06
19_240	-2.25074150467097	3.9889567405053e-08	1.01148545919956e-06
95_53	2.17393917186578	4.00135038988948e-08	1.01340125654456e-06
124_37	3.48892116679526	4.04188384519209e-08	1.02243064175783e-06
4293_2	-2.36629205193799	4.16899618809935e-08	1.05331272810303e-06
4_225	-2.13872122890136	4.19094247176427e-08	1.05758180808558e-06
55_140	-3.06726380603159	4.23129540150532e-08	1.0664799300184e-06
29_125	4.98277995982465	4.24304987850612e-08	1.06815720799652e-06
37_151	2.53056895099461	4.25338883369959e-08	1.06947453927777e-06
12_265	-3.21047729721685	4.26966462230721e-08	1.07227968242476e-06
70_94	2.23680773383792	4.3486443910003e-08	1.09080666789822e-06
34_122	-2.72313316565511	4.35395368840973e-08	1.09083205746103e-06
37_81	-2.07126206366119	4.40520379121626e-08	1.10235356519743e-06
163_2	-2.42803929072351	4.44500251241156e-08	1.11098541315585e-06
14_209	-3.21966875604612	4.490282184347e-08	1.12096496246899e-06
60_27	8.04175965576779	4.55092193776064e-08	1.13475071412377e-06
161_4	3.47228786814626	4.57174860505927e-08	1.13858828219936e-06
37_210	-4.7316617709908	4.63322235474848e-08	1.15252781734212e-06
104_65	-3.83807845587885	4.73433506854427e-08	1.17628289455112e-06
214_5	7.65391076225377	4.74967284343668e-08	1.17869547044765e-06
84_92	-3.32395030934406	4.75775377202639e-08	1.1793035829005e-06
33_137	-3.63643673839729	4.78990596049267e-08	1.18586974400141e-06
92_102	11.5381655785652	4.92299428197025e-08	1.21738034516962e-06
55_138	-3.17502357352755	4.99442906752319e-08	1.23358864173671e-06
116_51	2.19768403576613	5.09025763323619e-08	1.25577675062582e-06
80_119	2.16527460837178	5.0981596485314e-08	1.25624651574694e-06
7_64	7.04238600915748	5.11177612874463e-08	1.25812163356705e-06
13_95	4.002671585948	5.12017424812427e-08	1.25870950266388e-06
73_75	-2.14085302501629	5.17197410631112e-08	1.26995307921086e-06
44_57	-4.65474766255497	5.19450613782595e-08	1.27347007330717e-06
27001_2	8.59268026238897	5.19845744892637e-08	1.27347007330717e-06
139_56	-2.85949469039451	5.21913871772355e-08	1.2770427621813e-06
7_181	-2.25446736705628	5.26122637512848e-08	1.2858388147849e-06
3368_1	-3.49621111666673	5.27217999995373e-08	1.28701410371831e-06
83_102	-3.85494861565391	5.28829312287346e-08	1.28944469684033e-06
4_22	-2.00359656337845	5.30119401066355e-08	1.29108730875986e-06
252_10	-3.3632422836685	5.3808062189525e-08	1.30895454420395e-06
53_55	-2.74678233806703	5.44808333689992e-08	1.32378312634999e-06
1040_1	-3.90723611138887	5.4845404521849e-08	1.33109733222495e-06
64_17	-2.36844355200821	5.50083770777782e-08	1.33350747441443e-06
36_209	5.11997615667554	5.50783460316105e-08	1.33366006662668e-06
46_161	-2.42878874962354	5.52723695330869e-08	1.3368126788343e-06
55_74	3.10830374279398	5.59081830033002e-08	1.35063078777869e-06
171_35	-2.82682630545985	5.6023333394298e-08	1.35185336168614e-06
2512_2	10.1019862168855	5.80451178899782e-08	1.39902761128377e-06
7_63	-2.42012447773208	5.83191803101681e-08	1.40401750758215e-06
10_35	-2.10235694110254	5.83954811493066e-08	1.40424035898074e-06
114_13	-4.63791978241543	5.85766454066264e-08	1.40698146564426e-06
3_35	3.14391426966229	5.90544337477274e-08	1.41683289214908e-06
152_16	-2.42112672368341	6.00082302350038e-08	1.43806908726791e-06
329_3	-3.1383201096972	6.05881632149018e-08	1.45030751832699e-06
127_24	2.17351044607601	6.10351080146666e-08	1.45933828466574e-06
99_12	-3.32739543270885	6.13224388574352e-08	1.46453646735345e-06
195_13	-2.21904404177967	6.1854073766619e-08	1.47555076884036e-06
76_37	-2.14963005866896	6.23225844454493e-08	1.48503587168366e-06
1247_2	-4.03802446647896	6.24969132235538e-08	1.48749755394015e-06
44_83	2.54762403224471	6.3020232223181e-08	1.4982505833309e-06
1_304	-2.05869094461765	6.3370300705809e-08	1.50486502072922e-06
64_2	-2.42991598482546	6.34638479033633e-08	1.50537972178476e-06
1288_1	-2.80494030576625	6.45298505375246e-08	1.52893407184214e-06
12_11	-3.24090537926321	6.47759015138912e-08	1.53302966916209e-06
58_127	-2.62099422694011	6.50249594883743e-08	1.53718710664108e-06
20_140	-5.50916362636887	6.5306040449116e-08	1.54209133845179e-06
36_143	-2.23290539920301	6.5941555013289e-08	1.55534444792043e-06
435_4	6.24281013294101	6.60271603548433e-08	1.55561178136355e-06
46_67	2.16579263594009	6.77342203388388e-08	1.59403735392919e-06
147_16	-2.78176964644924	6.81769713465877e-08	1.60265618951098e-06
29_64	2.18673611903399	6.8558039376571e-08	1.60980732594426e-06
16_98	-2.28465345152507	6.91485951788406e-08	1.621855908198e-06
23_116	2.92395672844772	6.97725140908372e-08	1.63465918079708e-06
3_287	-2.60533984886125	6.99735128983462e-08	1.63753656721325e-06
83_103	-3.04727861896155	7.12524990435133e-08	1.66560668802052e-06
6_258	2.7855892179104	7.17905772230686e-08	1.67631397986307e-06
9_77	5.1661450040192	7.21191497640642e-08	1.68211090401818e-06
51_147	-2.2500995226004	7.22493625994316e-08	1.68327352574538e-06
31780	-2.88266642893404	7.33821977566028e-08	1.70776681334672e-06
2124_1	-3.06923435346442	7.37215133392458e-08	1.71375926402942e-06
77_68	-4.53099979224935	7.4672190393339e-08	1.73393462060808e-06
28_114	-3.40230434533928	7.57806404737533e-08	1.75772482250583e-06
189_2	8.63189502015523	7.62384821008533e-08	1.76638828274599e-06
50_171	2.56847905167722	7.89467733578988e-08	1.82711620771402e-06
194_12	-3.91916608579422	8.03041808722815e-08	1.85648020791384e-06
5_221	2.04142433741252	8.28446810473775e-08	1.91310015935758e-06
77_25	-1.95562867734175	8.46390165777719e-08	1.95099579511388e-06
6_290	3.29424129976385	8.46720065771553e-08	1.95099579511388e-06
29_109	-2.09033971721172	8.48968426526225e-08	1.95402677951558e-06
1565_1	-2.58939438128457	8.89732575069257e-08	2.04560359877339e-06
131_52	-2.15475573268144	8.98840437023495e-08	2.06427773612468e-06
44_33	-2.04159073269404	9.15233560545099e-08	2.09962397870943e-06
21_186	5.38192363796997	9.17807566641041e-08	2.10322532640007e-06
46_36	-1.974480081384	9.33953085781553e-08	2.13788495974805e-06
165_12	8.06896185672427	9.50946146599252e-08	2.17440688215298e-06
26_305	-2.62073587407659	9.56026615915318e-08	2.1836398549996e-06
43305	-2.04367178070743	9.5757732369692e-08	2.18479924235643e-06
7_136	-3.61709195757645	9.61885573771155e-08	2.19224084250673e-06
82_21	-2.06175914705001	9.71488725457973e-08	2.21172079942579e-06
76_33	-3.13096335659605	9.76494710368813e-08	2.22070376858575e-06
125_7	-2.56260239900076	9.83746633518406e-08	2.23476933178341e-06
87_34	-2.07053335402032	9.84838189293188e-08	2.23482512185762e-06
2_114	-1.98201676758708	9.87823115259944e-08	2.2391726351861e-06
188_4	-2.22161280028298	1.019496795293e-07	2.30847139215263e-06
26_270	4.07927140337995	1.0388641780893e-07	2.34971713671565e-06
117_74	-2.39479632977772	1.03995597313698e-07	2.34971713671565e-06
807_5	4.46163003007518	1.04368872055228e-07	2.35560994094476e-06
28_121	2.75465428118689	1.04551704384658e-07	2.35719639218154e-06
1_37	-2.65808147941168	1.05002779115269e-07	2.36482065437561e-06
987_5	-3.15510993707223	1.053257704363e-07	2.36954700514318e-06
1652_2	2.43868398966931	1.106459767178e-07	2.48656650467203e-06
17_165	-3.01009356557498	1.13797726139995e-07	2.55465527760151e-06
104_41	-3.31396454292545	1.14265210444437e-07	2.56240346119779e-06
37783	-8.09749100968533	1.15009804441705e-07	2.57597613213684e-06
444_5	11.1502737775111	1.15116431591314e-07	2.57597613213684e-06
74_64	3.33412431929872	1.15685441384314e-07	2.58594617907626e-06
48_32	-2.14115120046894	1.17095706536444e-07	2.61467971578445e-06
200_25	2.17708211274715	1.18382911289752e-07	2.63780161493506e-06
17_23	-2.14835512086828	1.18383075580757e-07	2.63780161493506e-06
6_43	5.03216132976485	1.1850922725235e-07	2.63780633878903e-06
9_81	-2.36723846969947	1.1902406764616e-07	2.6464533936824e-06
85_116	-2.38998179296401	1.21803160969492e-07	2.7053734957646e-06
38072	14.1684090991199	1.23016939636875e-07	2.72861250187347e-06
53_163	2.36769659065011	1.23109993519715e-07	2.72861250187347e-06
129_33	-2.58909227548818	1.24744111901523e-07	2.76190848179429e-06
277_3	-2.2529733480144	1.26389798646911e-07	2.7953900028084e-06
136_44	2.74898501408133	1.2830266456525e-07	2.83470391278393e-06
96_70	-4.53403728119516	1.31577171071197e-07	2.90398719503291e-06
3_271	2.10352155516721	1.32714389771888e-07	2.92600304607599e-06
99_51	-1.97452101444724	1.3338695200931e-07	2.93773891675605e-06
119_62	-3.33760379494325	1.34553324676786e-07	2.95785893354292e-06
25_30	-2.40961520365931	1.34805808131626e-07	2.95785893354292e-06
171_8	6.05183315535859	1.34813995491676e-07	2.95785893354292e-06
25_207	-2.12513060539031	1.34865375103055e-07	2.95785893354292e-06
43_108	-5.08190867947988	1.36413776936756e-07	2.98868886813845e-06
50_86	-5.44253183835141	1.36838080612104e-07	2.99485224495352e-06
8_130	-1.97729682225307	1.3802105153865e-07	3.0175896915209e-06
3_145	3.35462123856293	1.38911352653528e-07	3.03388767604604e-06
21_135	-7.45099054586596	1.41369683730169e-07	3.08436252680041e-06
70_52	-2.48855300691254	1.43135235614439e-07	3.11963320493697e-06
80_93	3.3435117547909	1.43944989867629e-07	3.13402059540281e-06
31100	5.8464649884359	1.45299824526926e-07	3.1602334628416e-06
159_10	-2.13544685609662	1.4569793148224e-07	3.16560495321112e-06
16_197	-2.74133476528412	1.4966797398791e-07	3.2484929690951e-06
37_86	2.51873372160855	1.55973662070564e-07	3.3818512961366e-06
5_104	2.17216696970455	1.56575072528127e-07	3.39138044891585e-06
217_8	-2.15990496385572	1.58262532541982e-07	3.42438919844197e-06
55_99	-2.26192105042157	1.62696287027873e-07	3.5166911576871e-06
14_80	2.14889587913243	1.63059254252973e-07	3.52090317559642e-06
2033_1	-2.1879742981144	1.65028659092777e-07	3.55975825406612e-06
48_225	-2.94651680846793	1.65338355477075e-07	3.56276939862894e-06
232_12	2.95574661389439	1.67526630395998e-07	3.60621302532803e-06
15_131	2.05160782555304	1.68034025209423e-07	3.61298242413807e-06
9_226	4.24144831776178	1.68186099953909e-07	3.61298242413807e-06
104_30	1.96771961127092	1.69691366698844e-07	3.6415836839214e-06
357_4	2.01257738274515	1.71254187703045e-07	3.67136024712414e-06
19_203	2.51080478334216	1.73520011676234e-07	3.7161315384036e-06
50_110	-2.4801149038698	1.74272696579936e-07	3.72576332700799e-06
95_75	2.23505861555857	1.74325522103978e-07	3.72576332700799e-06
80_42	-2.06620462774486	1.75466512965059e-07	3.74632631401953e-06
173_21	-2.10639678511644	1.77158899513509e-07	3.77569043541351e-06
1351_1	-2.39157457787883	1.77202372786416e-07	3.77569043541351e-06
365_6	4.74347070740153	1.79977868769053e-07	3.8258801180872e-06
277_12	1.96111010587559	1.79997340096195e-07	3.8258801180872e-06
55_78	3.77562041469669	1.80105886676246e-07	3.8258801180872e-06
33_39	-3.04747988511709	1.83692907055928e-07	3.89812354436313e-06
62_14	2.85133978553139	1.85529788529389e-07	3.93311884691098e-06
968_2	-3.06512175115798	1.92869331910385e-07	4.0845785205895e-06
59_49	-2.5745360605368	1.93515360404941e-07	4.09412042796109e-06
21_174	2.09088262829063	1.93931319297418e-07	4.09878050724967e-06
871_6	-3.60701786441922	1.94771325109092e-07	4.11238448025196e-06
125_30	-1.93657937562407	1.96157512263587e-07	4.13748146461312e-06
2_243	-2.46923738896838	1.97492051129664e-07	4.16143964880363e-06
55_102	2.4451484430766	2.02082843105185e-07	4.25389462194783e-06
66_109	-2.95354134000476	2.04291812842109e-07	4.29607632527908e-06
94_12	-1.99649445642054	2.09091393646764e-07	4.39259703102455e-06
176_3	2.10545576035155	2.10495548236502e-07	4.4176645869875e-06
158_3	3.11844286871303	2.16478095250213e-07	4.53336055951458e-06
94_13	-2.08615079395827	2.1667021522013e-07	4.53336055951458e-06
33013	-2.34547134668819	2.16709708663542e-07	4.53336055951458e-06
2_422	5.26132096067159	2.16874064484775e-07	4.53336055951458e-06
122_16	3.02330536435407	2.18802827816731e-07	4.56911787499644e-06
1042_3	2.98482372760175	2.26644882212915e-07	4.7281644003481e-06
15_77	2.67071220666417	2.28741909311221e-07	4.76716347315774e-06
37_149	-2.33396429260537	2.30865717207868e-07	4.80664259137058e-06
88_33	-3.50756759325123	2.33860120279898e-07	4.86415116113453e-06
817_1	-2.62671531293464	2.36372640950132e-07	4.91153270307591e-06
7_135	-3.91011848024126	2.39592082341448e-07	4.97349471223155e-06
1_183	2.95138914000808	2.40793643599326e-07	4.99211356348613e-06
125_8	-2.58891745725719	2.40965710798972e-07	4.99211356348613e-06
151_21	2.21269559063298	2.41315858425263e-07	4.99442752442405e-06
43_107	-1.89280532674153	2.42020176310811e-07	5.00405981523192e-06
25_25	3.28279286277946	2.44476176568634e-07	5.04985554066079e-06
796_1	-2.18696448424567	2.44731472591084e-07	5.0501484664239e-06
4_165	3.7986630177172	2.46484395763406e-07	5.07890171837507e-06
58_10	-1.98029531371127	2.46739225717496e-07	5.07890171837507e-06
5_57	-2.95480922253941	2.46852325104122e-07	5.07890171837507e-06
33_5	11.4970231081431	2.47512905126454e-07	5.08749538554817e-06
25_146	-2.74838148495365	2.48643572441673e-07	5.10572512234396e-06
21_18	2.40912584249072	2.50975105457794e-07	5.14855395084574e-06
5_158	-1.92009769233175	2.52856000325958e-07	5.18206352918513e-06
57_52	4.27397287152339	2.54293265667892e-07	5.20642468173411e-06
18_101	-3.9884712836259	2.55270602376388e-07	5.22133082692719e-06
29_25	-2.12153316815073	2.56939514588217e-07	5.2460421048538e-06
65_132	1.9629764763806	2.56979670545715e-07	5.2460421048538e-06
12_133	2.99042819173393	2.60243891478391e-07	5.30750565434752e-06
1_76	-2.20884803549159	2.62254726890835e-07	5.34331250459974e-06
19_100	3.41335913835461	2.6254553764741e-07	5.34403915065598e-06
18_183	-3.81320667127545	2.66679392374027e-07	5.42291249832426e-06
46_34	2.25996353587127	2.67988116146219e-07	5.44423966312566e-06
26_74	2.46071575505774	2.71565288783524e-07	5.51156489687104e-06
13_180	-1.88826658051672	2.72207497283585e-07	5.51925075566766e-06
64_163	-3.497419475415	2.73125378883524e-07	5.53250586142689e-06
26_248	-3.03084234599717	2.74296950322819e-07	5.55086920242651e-06
81_164	2.21557674092252	2.75604684108103e-07	5.57194991181874e-06
107_88	-2.12617360148099	2.93380233184664e-07	5.92560172039805e-06
50_19	-3.16219290532313	3.06702541019458e-07	6.1887136046749e-06
24967_2	5.26322977449138	3.14738748183212e-07	6.34475753676359e-06
158_11	4.1155002812787	3.1523489596453e-07	6.34864893843949e-06
46_140	1.90172809907512	3.21738606169194e-07	6.46935113145786e-06
29844	2.00702615831505	3.21845971782244e-07	6.46935113145786e-06
110_11	-3.52976236705588	3.22500717145315e-07	6.47629675993157e-06
81_9	-3.95726325250603	3.23438317395256e-07	6.48890379103796e-06
169_52	2.22339495298344	3.29593944560483e-07	6.60607193188451e-06
36_13	-2.18271893121076	3.33085748897264e-07	6.6696759184065e-06
16_115	7.37852768204371	3.38790485740901e-07	6.77742762544715e-06
14_190	-1.91383620129467	3.41356092634774e-07	6.82223603075892e-06
55_21	-2.14436117871695	3.45057589074197e-07	6.88963889719643e-06
125_33	-2.01856977522666	3.47601789101103e-07	6.93382806925963e-06
621_3	2.10950560480347	3.52204915220295e-07	7.01896474718275e-06
51_158	3.78863695529149	3.52976736285857e-07	7.02765945010198e-06
211_14	-2.12846753989783	3.54172145183868e-07	7.04476313473514e-06
42_94	-2.33242536041876	3.59921142749625e-07	7.15232289837846e-06
17_99	-3.74314569370665	3.70941614958841e-07	7.36433376806912e-06
7_100	-2.29833276603724	3.73602012385581e-07	7.41012703543182e-06
25_122	-2.47116389764999	3.74695503446309e-07	7.42478459761867e-06
144_19	-7.32301655892056	3.76293451964609e-07	7.44940108827859e-06
6_68	-2.47247741924586	3.79158485152669e-07	7.49903160672583e-06
229_16	-2.01546387022808	3.80534976298276e-07	7.51915573449753e-06
5_239	4.21227862147185	3.83113714875712e-07	7.56297526679716e-06
12_24	3.0167539267935	3.87187184920713e-07	7.63619170260295e-06
32539	-2.21044172811541	3.88786805459238e-07	7.66052647257173e-06
87_75	-2.19329496942768	3.89467803865138e-07	7.66673228567228e-06
42_3	2.77961891677259	3.90679562539963e-07	7.68336472995262e-06
21_103	3.06936516709923	3.95215083979516e-07	7.76527198306845e-06
107_120	-2.09431187014408	3.97312949399204e-07	7.79504825129133e-06
5_100	-2.35211208012365	3.97474888153695e-07	7.79504825129133e-06
1452_1	-2.83095468543057	4.0019063065936e-07	7.84096609837258e-06
4_141	2.99822192008107	4.01518224288763e-07	7.85881586739363e-06
2_373	-2.62991249588159	4.01852078967705e-07	7.85881586739363e-06
12_102	-2.44522117213352	4.04479383455457e-07	7.90281780454714e-06
97_108	-3.63317009162054	4.16036182095004e-07	8.12104178376501e-06
30095_2	-2.40825456291446	4.20506328821723e-07	8.20065647781284e-06
27_90	-3.22414062159691	4.20920451118115e-07	8.20109660341294e-06
48_142	-3.0153414364677	4.23601602223125e-07	8.24566501725218e-06
2_340	10.4108199598171	4.24687879454396e-07	8.25913429449613e-06
36_131	2.05284808150495	4.2604560667197e-07	8.27785271961448e-06
51_28	-8.02935465388076	4.33634878329481e-07	8.41750002466263e-06
85_96	4.17691003272114	4.34840388651494e-07	8.43308512991253e-06
104_23	-3.19878942848289	4.36197719181336e-07	8.44416108132751e-06
6_222	-1.8967398477059	4.36217822391806e-07	8.44416108132751e-06
37_223	-5.22025512079632	4.38867147238353e-07	8.4876014763687e-06
42_8	2.49434255243871	4.41777683676213e-07	8.53600884188033e-06
12_69	-2.40277522814455	4.50891593566088e-07	8.70407781312601e-06
125_10	4.49591657196459	4.5894015156834e-07	8.85129049226416e-06
10_245	-3.39591779431588	4.64591587728558e-07	8.95204305885433e-06
44_113	-3.42034578865692	4.75655159874568e-07	9.15679901063679e-06
133_25	5.43360815071439	4.7864505354764e-07	9.20589591051911e-06
3_411	-2.19290267876164	4.85543308555903e-07	9.3300042180765e-06
43_46	2.04108195654316	4.88920842174376e-07	9.38629426154198e-06
37_98	1.97187515052881	4.94375979980341e-07	9.48233049513575e-06
25_206	-2.00913317236117	5.00470562351076e-07	9.59044458229028e-06
37_221	-5.22070929466794	5.10155728243317e-07	9.76710395617575e-06
45399	-1.859683740537	5.11992680481088e-07	9.79099377414497e-06
1_160	-3.04075666983819	5.12338466290899e-07	9.79099377414497e-06
427_3	-2.0342482328953	5.16023543438935e-07	9.85242763658021e-06
3_364	3.93213412398407	5.17259069804847e-07	9.8670229663593e-06
10_253	-2.03431823518186	5.18588510892055e-07	9.88172320906449e-06
6_227	2.16849989901711	5.18973288611647e-07	9.88172320906449e-06
17_187	2.09574615030876	5.19644169805298e-07	9.88551056909353e-06
13_188	2.11690049033451	5.2421367497325e-07	9.96338967542171e-06
77_38	-2.60151675154351	5.26515995363176e-07	9.99807572337419e-06
3_42	2.07951787420161	5.28930494038141e-07	1.00348271717653e-05
29_126	5.81093342738414	5.52642597923488e-07	1.04752029081515e-05
128_18	-1.97392235538799	5.56176503743274e-07	1.05326553986464e-05
