Genes	logFC	PValue	FDR
1103_1	-4.16088083000764	8.07474966329532e-23	1.83832208367088e-20
8_103	-5.23052384704939	8.77149233720089e-23	1.97547211830831e-20
136_72	-5.35394321999495	9.62437339039214e-23	2.1444946878911e-20
234_11	-4.64180331809864	1.13496528201117e-22	2.50229977176042e-20
198_20	-4.33212777152923	1.46944476437944e-22	3.20599172811744e-20
107_51	4.43038083802088	1.79578410008985e-22	3.87759772952391e-20
36659	-4.48105351941945	2.07004587519139e-22	4.42419498529425e-20
166_40	-4.58724854024892	2.34634860701002e-22	4.96406783573989e-20
160_18	-4.24407732991177	2.40400402491384e-22	5.03518643018204e-20
26_234	-4.15758663933122	2.56664064780797e-22	5.32260280874632e-20
6_139	-4.36483223769908	3.20736067766876e-22	6.58609503860511e-20
43137	5.08619830715068	4.48563776902961e-22	9.12152262838108e-20
160_8	-4.89217240762228	5.26561883821679e-22	1.06046525544664e-19
99_11	-4.48634032414966	6.45897691680558e-22	1.28841210973803e-19
74_73	-4.37503366309106	6.7265622921026e-22	1.32913063403858e-19
32_96	7.6567235010003	8.5357028593508e-22	1.67084389148694e-19
3_288	-6.77951880961403	8.93404430725373e-22	1.7326255371799e-19
10_25	8.23235599845	1.09030072918813e-21	2.09507786906838e-19
34078	9.35465194825645	1.1758436747454e-21	2.23891325159477e-19
84_50	3.84053571176894	1.20336518058763e-21	2.27067420787459e-19
52_39	-5.50663898075451	1.90974103617959e-21	3.57138625024836e-19
987_3	-4.24695705182863	2.24989741554739e-21	4.17027445740178e-19
19_124	-6.47770599474552	3.21561498059851e-21	5.90798734812594e-19
18_33	3.97533290915992	3.79897943976467e-21	6.91909777094531e-19
36792	-3.94789821610488	4.16862274313048e-21	7.52687959955757e-19
49_107	4.75484443725175	4.80093761985546e-21	8.59449901263869e-19
2076_1	-3.97140891207517	5.12486418855094e-21	9.09663393467792e-19
3019_2	-4.23940426048645	5.58670588154073e-21	9.83307182259416e-19
327_3	-4.16163381689787	5.67560292924464e-21	9.90629194608575e-19
74_88	-4.30274014493223	5.73925368963578e-21	9.93460070491086e-19
157_26	3.8670178095872	5.82551318017638e-21	1.000126012777e-18
233_25	-4.14054284451377	6.01398018621182e-21	1.02408792683095e-18
32025	-7.5072836589086	6.6353470342208e-21	1.12078502928834e-18
129_52	-6.49979629577039	6.98044583596415e-21	1.16964350427415e-18
49_49	-4.00048709714684	7.12816717367862e-21	1.1849163607357e-18
107_44	-3.75294889330197	8.51846764032819e-21	1.40487641517066e-18
13_64	-5.38011939600582	9.00204416833848e-21	1.47302980551445e-18
13_94	-4.68459518794033	9.35284658063373e-21	1.51856877233623e-18
77_34	-4.86060574679689	9.52241016944746e-21	1.53420677691598e-18
6425_1	3.9333737294818	1.18329869328167e-20	1.89192298708279e-18
21_157	-4.98884828833922	1.33514017537973e-20	2.1185235585855e-18
367_4	-4.13664658354134	1.52549221002159e-20	2.40236348412799e-18
19_198	-5.10975515336539	1.86048237438956e-20	2.90804502474547e-18
2639_1	6.27068542491552	1.96537348647177e-20	3.04924056845565e-18
40737	-4.63684267683547	2.72894035654341e-20	4.20276880645601e-18
9_11	9.72658695886661	2.89445539124423e-20	4.42513636274529e-18
30480_4	-4.25872796231591	3.12520898499712e-20	4.74329726020035e-18
9_8	10.9666326824341	3.29006210674239e-20	4.95757919609492e-18
48_3	-4.2971989912572	3.33999813475216e-20	4.99687578088458e-18
95_70	-4.79944187892464	4.18020356505563e-20	6.20952933830426e-18
16_191	-4.17109340391959	4.27517147756168e-20	6.30587792940348e-18
17_48	-3.95562370177096	4.52252640852681e-20	6.62407801584574e-18
7_179	-3.85720157379482	4.59489840280943e-20	6.68334354491969e-18
37590	-4.05854020433819	4.99234485527776e-20	7.21135606853743e-18
1540_1	-3.95552700469699	5.13920329686229e-20	7.37264472964251e-18
1973_2	-6.93727318318956	6.87880429564414e-20	9.80112625661676e-18
995_1	-4.08781777494138	6.95204691214725e-20	9.83855557938677e-18
9_210	5.55918799722495	7.51252761710743e-20	1.05138177457774e-17
96_47	8.42086673993751	7.52959017362909e-20	1.05138177457774e-17
26_273	4.43332611259392	7.8641074974161e-20	1.09081941412835e-17
29_3	-4.2125734953296	8.36034283219884e-20	1.15202224092371e-17
0_14	-5.07602164083232	1.20660990220661e-19	1.65179375174623e-17
20_130	-6.16553514174332	1.35972852786318e-19	1.84931909195418e-17
89_9	-5.11039081613109	1.41424091702336e-19	1.91105006497125e-17
3_19	7.42637416921977	1.4667107862499e-19	1.96924727038488e-17
77_40	-4.13142279830558	1.85000221101998e-19	2.46804435094354e-17
3006_2	-4.36319800320261	1.91996787538044e-19	2.54517260442047e-17
